question,answer,normalized_aliases,correctness
Which theory states that 'people tend to rise to their own level of incompetence'?," Peter Principle'
","['peter principle', 'promote to fail', 'managing upward', 'tabulology', 'hierarchiology', 'peter s principle', 'peter principal']",Correct
Which writer was the father of Christopher Robin?," A.A. Milne
","['daphne de sélincourt', 'alan alexander milne', 'daphne milne', 'dorothy de sélincourt', 'aa milne', 'milne', 'alan milne', 'dorothy milne']",Correct
The Dance Class and Absinthe are famous works by which painter?," Edgar Degas
","['degas hilaire germain edgar', 'degas', 'hilaire germain edgar degas', 'edgar de gas', 'de gas', 'edgar dégas', 'edgar degas']",Correct
Which American actor also performs with the band Dogstar?," Keanu Reeves
","['keanu reeves filmography', 'ava archer syme reeves', 'keanu reaves', 'kenau reeves', 'kenu reeves', 'keanu reeves', 'sad keanu', 'filmography of keanu reeves', 'cool breeze over mountains', 'keanu', 'keanau reeves', 'keanu reevs']",Correct
In which city was the British version of Concorde assembled," Bristol
","['bristol england', 'westbury park primary school', 'bristol', 'bristolshire', 'bristol city of ua', 'bristol district', 'weather in bristol', 'county borough of bristol', 'un locode gbbrs', 'brycgstow', 'bristol united kingdom', 'brizzle', 'bristol uk', 'city of bristol', 'unitary authority of bristol', 'city of bristol united kingdom']",Correct
What is taphophobia the fear of?," Being buried alive
","['graves wine', 'graves superieures aoc', 'graves supérieures aoc', 'graves supérieures', 'graves aoc', 'graves']",Incorrect
"Which bruising 19th century American, the last of the bare knuckle boxing heavyweight champions, was the first athlete to earn over one million dollars?"," John L Sullivan
","['john lawrence sullivan', 'john l sullivan', 'great john l', 'sullivan john l', 'john l sullivan boxer']",Correct
"Who was the merchant sea-captain who made the first American circumnavigation of the world in 1790, and is known for trading voyages to the northern Pacific coast of North America between 1790 and 1793, which pioneered the fur trade in that region?"," Robert Gray
","['robert gray', 'robert gray disambiguation', 'bob gray', 'bobby gray']",Correct
"Situated in Piccadilly, what is the name of London’s oldest bookshop?"," Hatchards
","['hatchard s', 'hatchards']",Correct
What childhood stories feature a young boy named Mowgli?," The Jungle Book
","['jungle book 2015', 'jungle book', 'two jungle books', 'rudyard kipling s jungle book', 'jungle books', 'jungle book origins 2016', 'white seal']",Correct
