question,answer,normalized_aliases,accurate_judgement,logits
"Located in Holyoke, Ma, the town in which the sport was created, what Hall of Fame is located at 444 Dwight St?"," Basketball
","['court volleyball', 'libero volleyball', 'volley ball', 'serve volleyball', 'rally point system', 'spike volleyball', 'v ball', 'volleyball rules', 'indoor volleyball', 'lebro', 'volleyball', 'vollyball', 'mintonette', 'volleyball court', 'volleyball dig', 'history of volleyball', 'setter volleyball', 'outside hitter', 'high school volleyball', '🏐']",Incorrect,"[[0.5698526501655579, 0.43014734983444214]]"
Ceylon is the former name of what country?," Sri Lanka
","['etymology of sri lanka', 'subdivisions of sri lanka', 'ceylon', 'hela diva', 'sri lanka government', 'ceilan', 'iso 3166 1 lk', 'śrī laṃkāva', 'sri lankan martial arts', 'venerable island', 'seilan', 'tourist sri lanka', 'helaya', 'sri lamka', 'sulloon', 'ilankai', 'republic of sri lanka', 'free sovereign and independent republic of sri lanka', 'cejlon', 'ilaṅkai jaṉanāyaka choṣhalichak kuṭiyarachu', 'socialist republic of sri lanka', 'sri lankan', 'shri lamka prajatantrika samajaya di janarajaya', 'heladiva', 'srí lanka', 'ilankai jananayaka', 'island of ceylon', 'independence of sri lanka', 'இலங்கை', 'sri lankan republic', 'sri lanak', 'srilanka', 's lanka', 'ශ්\u200dරී ලංකා ප්\u200dරජාතාන්ත්\u200dරික සමාජවාදී ජනරජය', 'democratic socialist republic of sri lanka', 'sielediva', 'administrative divisions of sri lanka', 'ceylonese', 'provincial capitals of sri lanka', 'choshalichak kutiyarachu', 'sri lanca', 'sir lanka', 'sri lanka', 'இலங்கை சனநாயக சோசலிசக் குடியரசு', 'ceilao', 'ilaṅkai', 'ilankai jananayaka choshalichak kutiyarachu']",Correct,"[[0.8914335370063782, 0.10856641829013824]]"
"Name the author of the novel 'The Van', shortlisted for the 1991 Booker Prize."," Roddy Doyle
",['roddy doyle'],Correct,"[[0.8238958716392517, 0.1761041134595871]]"
"What highly toxic element was traditionally used in thermometers, posing a substantial safety and disposal risk?"," Mercury
","['merdcury', 'mercury album', 'mercury disambiguation', 'mercury', 'murcury']",Correct,"[[0.9149009585380554, 0.08509904891252518]]"
Which historical 17th century event was recorded by diarists samuel Pepys and John Evelyn who reecorded the events and their own reactions day by day?,"1666 Great Plague of London
","['london fire of 1666', 'fire of london', 'great london fire', 'great fire of 1666', 'london s great fire', 'thomas farynor', 'thomas farriner', 'london fire', 'great fire of london', '1666 london fire']",Incorrect,"[[0.4863315522670746, 0.5136684775352478]]"
"In what country, the world's seventh largest by geographical area, is Christmas known as Bada Din (the big day)?"," India
","['భారత గణతంత్ర రాజ్యము', 'భారత రిపబ్లిక్', 'bhārtiya prajāsattāk', 'republic of india', 'ভারত', 'hindio', 'ਭਾਰਤ ਗਣਤੰਤਰ', 'भारतीय प्रजासत्ताक', 'ભારતીય ગણતંત્ર', 'indea', 'ভারত গণরাজ্য', 'இந்தியக் குடியரசு', 'india country', 'les indes', 'هندستانڀارت،', 'etymology of india', 'भारतमहाराज्यम्', 'india', 'جمہوٗرِیت بًارت', 'भारतीय गणराज्याच्या', 'ভারতরাষ্টৃ', 'india s', 'ভারতীয় প্রজাতন্ত্র', 'ഭാരത മഹാരാജ്യം', 'bhārat gaṇarājya', 'ভাৰত গণৰাজ্য', 'ଭାରତ ଗଣରାଜ୍ଯ', 'இந்திய', 'जुम्हूरियत भारत', 'union of india', 'hindistan', 'indya', 'bhart', 'iso 3166 1 in', 'bharat ganrajya', 'भारत गणराज्य', 'indian republic', 'ಭಾರತ ಗಣರಾಜ್ಯ', 'indian state', 'جمہوریہ بھارت', 'iso 3166 1 alpha 3 ind']",Correct,"[[0.7745833992958069, 0.2254166156053543]]"
"Who, with Steve Jobs, founded Apple Computers?"," Steve Wozniak
","['stephen gary wozniak', 'stephen wozniak', 'wozzie', 'stephan wozniak', 'wizard of woz', 'woz', 'steve woz', 'steve wozniack', 'steve wozniak', 'stephen g wozniak']",Correct,"[[0.8852352499961853, 0.11476478725671768]]"
Where is Iraq's main port?," Basrah
","['basrah', 'al başrah', 'busreh', 'al baṣrah', 'al basrah', 'basra iraq', 'bussora', 'abillah', 'basra region', 'basra', 'al obolla', 'al basra', 'bassora', 'bassorah']",Correct,"[[0.8233283758163452, 0.1766715943813324]]"
Domenico Gaetano were the Christian name of which 19th century composer?," Gaetano Donizetti
","['domenico gaetano maria donizetti', 'donizetti', 'operas by gaetano donizetti', 'donnizetti', 'gaetano donizetti']",Correct,"[[0.7563575506210327, 0.2436424344778061]]"
Which English world championship darts player walks onto the stage to the tune of ‘Rock and Roll’ by Led Zeppelin?," Phil Taylor
",['john lowe'],Incorrect,"[[0.8438951373100281, 0.1561049073934555]]"
Vernal refers to which season?," Spring
","['spring symphony', 'springs', 'spring album', 'spring', 'spring disambiguation']",Correct,"[[0.9121235609054565, 0.08787643909454346]]"
In which Canadian province is the city of Niagara Falls?," Ontario
","['ontario canada', 'canada ontario', 'on canada', 'ontairo', 'ontario', 'ontarian', 'province of ontario', 'ca on', 'climate of ontario']",Correct,"[[0.9224823713302612, 0.07751765847206116]]"
"March 31, 1917 saw the US purchase what is now known as the US Virgin Islands from what European country?"," Denmark
","['dinamarca', 'denmarc', 'danimarca', 'mainland denmark', 'denmarke', 'kingdom of denmark', 'danemark', 'danmoerk', 'denmark', 'danska', 'danmork', 'denemarke', 'media of denmark', 'iso 3166 1 dk', 'danish kingdom', 'daenemark', 'kingdomofdenmark', 'administrative divisions of denmark', 'dänemark', 'subdivisions of denmark', 'kongeriget danmark', 'danmörk', 'eastern denmark', 'denmark proper', 'media in denmark']",Correct,"[[0.8727816939353943, 0.12721826136112213]]"
Orange Pekoe is a variety of what beverage?," Tea
","['gourmet tea', 'cold brewed tea', 'tealeaves', 'tea brewing', 'tea', 'steeped tea', 'peach tea', 'tea plantation', 'instant tea', 'tea mashing', 'tea leaf', 'teamelier', 'tea drink', 'pitewey', 'tea preparation', 'loose tea', 'history of tea in korea', 'lemon tea', 'cup of tea', 'tea stall', 'organic tea', 'alternative tea', 'brewing tea', 'tea leaves', 'indian tea', 'tea leafs', 'tea growing']",Correct,"[[0.8766343593597412, 0.1233656257390976]]"
"Vodka can be made either from grain, or what vegetable?"," Potatoes
","['tattie', 'red potatoes', 'spud', 'potato', 'tatties', 'potatos', 'boiled potato', 'potato farmer', 'patatoes', 'potato skin', 'potatoes', 'purple potato', 'cooking potatoes', 'poetato', 'potato northern', 'potato industry', 'pratie', 'spuds', 'solanum tuberosum tuberosum', 'idaho potato', 'white potato', 'super tuber', 'red potato', 'culture of potato', 'potato irish', 'potato farm', 'alu tuber', 'german butterball', 'poetatoe', 'boiled potatos', 'history of potatoes', 'pomme terre', 'solanum tuberosum', 'kerris pink', 'new potatoes', 'potater', 'blue potato', 'pottato', 'potatoe', 'pateeto', 'tatey', 'potato farmers', 'boiled potatoes', 'roast potato', 'maris peer', 'white potatoes', 'new potato', 'irish potato']",Correct,"[[0.7918210625648499, 0.20817893743515015]]"
Who commanded the German forces at the Battle of Stalingrad," Friedrich Paulus
","['field marshall paulus', 'generalfeldmarschall paulus', 'generalfeldmarschal friedrich paulus', 'generalfeldmarschal friedrich wilhelm ernst paulus', 'field marshal friedrich wilhelm ernst paulus', 'generalfeldmarschall friedrich wilhelm ernst paulus', 'general paulus', 'fredrich von paulus', 'friedrich paulus', 'von paulus', 'generalfeldmarschall friedrich paulus', 'generalfeldmarschal paulus', 'general friedrich paulus', 'field marshal friedrich paulus', 'friedrich von paulus', 'friedrich wilhelm ernst paulus', 'field marshal paulus', 'general friedrich wilhelm ernst paulus']",Correct,"[[0.6867902874946594, 0.3132096230983734]]"
In the American sitcom Cheers what was the name of Norm's wife?," Vera
","['vera disambiguation', 'vera']",Correct,"[[0.8354835510253906, 0.16451646387577057]]"
Which eponymous classical heroine goes to Lowood School?," Jane Eyre
","['edward rochester', 'st john rivers', 'edward fairfax rochester', 'jane eire', 'mr brocklehurst', 'jane eyre', 'list of artistic depictions of and related to jane eyre', 'saint john rivers', 'mr edward rochester', 'reader i married him', 'st john eyre rivers', 'henry brocklehurst', 'mr edward fairfax rochester', 'jane eyre novel', 'jane eyre autobiography', 'mr rochester', 'جين أير', 'adele varens', 'blanche ingram']",Correct,"[[0.8601343035697937, 0.13986563682556152]]"
Russian dessert ‘Pashka’ is traditionally eaten during which religious holiday?," Easter
","['easter dates', 'easter date 2010', 'easter date 2011', 'easter date 2009', 'sunday of pascha', 'pâques', 'påske', 'feast of resurrection', 'resurrection sunday', 'easter 2006', 'easter 2010', '60id ul fish', 'orthodox easter', 'easter liturgy', 'easter 2011', '60id ul qiyama', 'velikden', 'easter', 'easter 2009', 'easter day', 'veligden', 'easter sunday', 'eastre', 'easter myths', 'alisos anesti']",Correct,"[[0.8910549879074097, 0.10894505679607391]]"
The name  of which Suzuki motorbike model is Japanese for peregrine falcon?," GSX-R
","['hayabusa mission', 'hayabusa mark 2', 'muses c', 'micro nano experimental robot vehicle for asteroid', 'minerva spacecraft', 'hayabusa', 'mu space engineering spacecraft c', 'hayabusa spacecraft']",Incorrect,"[[0.6731916666030884, 0.32680830359458923]]"
The historic Charles Bridge that crosses the Vlatava river connects which city's castle to its old town?," Prague
","['prague czech republic', 'praha czech republic', 'prague', 'un locode czprg', 'prague czechia', 'wards of prague', 'prahou', 'capital city of czech republic', 'praque', 'praha', 'prague czechoslovakia', 'prague bohemia', 'nuts praha', 'europe prague', 'prague bohemia czech republic', 'greater prague', 'historic centre of prague', 'prahy', 'capital of czech republic', 'prauge', 'prague tourism', 'city of prague', 'hlavní město praha', 'czprg', 'nuts prague']",Correct,"[[0.9244152307510376, 0.0755847916007042]]"
Saint Pega is said to be England's first female?," Nun
","['hermitess', 'solitarian', 'hermits', 'hermit', 'eremetic', 'anachorite', 'eremitical', 'eremitic', 'hermet', 'eremites', 'eremite', 'eremitism']",Incorrect,"[[0.5803520083427429, 0.4196479320526123]]"
What two words were added to the US Pledge of Allegiance in 1954?," Under God
","['pledge of allegiance to flag', 'under god', 'we pledge allegiance to flag', 'one nation under god', 'pledge of allegience', 'pledge allegiance', 'united states pledge of allegiance', 'pledge of allegiance to american flag', 'pledge of allegiances', 'i pledge allegiance to flag of united states of america and to republic for which it stands one nation under god indivisible with liberty and justice for all', 'pledge of allegiance', 'i pledge allegiance to flag of united states of america and to republic for which it stands one nation indivisible with liberty and justice for all', 'us pledge', 'liberty and justice for all', 'richard stands', 'pledge of allegiance to flag of united states of america', 'pledge of allegiance to flag of united states', 'i pledge allegiance to flag of united states of america', 'pledge of alleigance', 'u s pledge of allegiance']",Correct,"[[0.8464508652687073, 0.1535491794347763]]"
Of which Canadian province is Halifax the capital?," Nova Scotia
","['14th british colony', 'nova scocia', 'province of nova scotia', 'nova scosia', 'nova scotia canada', 'alba nuadh', 'nova scotia', 'ca ns', 'novia scotia', 'colonial nova scotia', 'scottish america', 'nouvelle écosse', 'nova scotian', 'nova scosha', 'hart island nova scotia', 'scotian', 'noav scotia', 'nueva escocia', 'colony of nova scotia', 'scotians', 'nouvelle ecosse']",Correct,"[[0.9249592423439026, 0.07504072040319443]]"
What nationality was the composer Jean Sibelius?," Finnish
",['finnish'],Correct,"[[0.8774768114089966, 0.1225232183933258]]"
"Rugby union - for which club team do England internationals Stevens, Farrell and Vunipola play ?"," Saracens
","['sarracens', 'saracen', 'sarcens', 'saracen attacks', 'saracenic', 'saracens']",Correct,"[[0.791176438331604, 0.208823561668396]]"
