question,answer,logits,normalized_aliases
Which theory states that 'people tend to rise to their own level of incompetence'?,"1970s
","[[0.17328819632530212, 0.8267117738723755]]","['peter principle', 'promote to fail', 'managing upward', 'tabulology', 'hierarchiology', 'peter s principle', 'peter principal']"
Which writer was the father of Christopher Robin?," A. A. Milne
","[[0.36116471886634827, 0.6388352513313293]]","['daphne de sélincourt', 'alan alexander milne', 'daphne milne', 'dorothy de sélincourt', 'aa milne', 'milne', 'alan milne', 'dorothy milne']"
The Dance Class and Absinthe are famous works by which painter?," Edgar Degas
","[[0.5888891220092773, 0.41111084818840027]]","['degas hilaire germain edgar', 'degas', 'hilaire germain edgar degas', 'edgar de gas', 'de gas', 'edgar dégas', 'edgar degas']"
Which American actor also performs with the band Dogstar?,"20th Century Fox
","[[0.25683197379112244, 0.7431679368019104]]","['keanu reeves filmography', 'ava archer syme reeves', 'keanu reaves', 'kenau reeves', 'kenu reeves', 'keanu reeves', 'sad keanu', 'filmography of keanu reeves', 'cool breeze over mountains', 'keanu', 'keanau reeves', 'keanu reevs']"
In which city was the British version of Concorde assembled," Filton
","[[0.49218809604644775, 0.5078118443489075]]","['bristol england', 'westbury park primary school', 'bristol', 'bristolshire', 'bristol city of ua', 'bristol district', 'weather in bristol', 'county borough of bristol', 'un locode gbbrs', 'brycgstow', 'bristol united kingdom', 'brizzle', 'bristol uk', 'city of bristol', 'unitary authority of bristol', 'city of bristol united kingdom']"
What is taphophobia the fear of?,"6 feet under
","[[0.3702253997325897, 0.6297746300697327]]","['graves wine', 'graves superieures aoc', 'graves supérieures aoc', 'graves supérieures', 'graves aoc', 'graves']"
"Which bruising 19th century American, the last of the bare knuckle boxing heavyweight champions, was the first athlete to earn over one million dollars?"," John L Sullivan
","[[0.39606812596321106, 0.6039317846298218]]","['john lawrence sullivan', 'john l sullivan', 'great john l', 'sullivan john l', 'john l sullivan boxer']"
"Who was the merchant sea-captain who made the first American circumnavigation of the world in 1790, and is known for trading voyages to the northern Pacific coast of North America between 1790 and 1793, which pioneered the fur trade in that region?"," John Kendrick
","[[0.25091278553009033, 0.7490872144699097]]","['robert gray', 'robert gray disambiguation', 'bob gray', 'bobby gray']"
"Situated in Piccadilly, what is the name of London’s oldest bookshop?","42nd Street
","[[0.22815649211406708, 0.7718434929847717]]","['hatchard s', 'hatchards']"
What childhood stories feature a young boy named Mowgli?,"1001 Nights
","[[0.18242551386356354, 0.8175744414329529]]","['jungle book 2015', 'jungle book', 'two jungle books', 'rudyard kipling s jungle book', 'jungle books', 'jungle book origins 2016', 'white seal']"
What potent greenhouse gas is produced by the digestive systems of cattle?," Methane
","[[0.5350984334945679, 0.46490156650543213]]","['ch₄', 'methyl hydride', 'ch4 disambiguation', 'metane', 'carburetted hydrogen', 'ch4', 'methane', 'liquid methane', 'methane plume', 'carbon tetrahydride', 'hydrogen carbide', 'liquid methane rocket fuel', 'methane gas', 'marsh gas firedamp', 'marsh gas', 'methan']"
"""Which bandleader was known as """"The sentimental gentleman of swing"""" because of his smooth trombone style?"""," Glenn Miller
","[[0.4455295503139496, 0.5544704794883728]]","['tommy dorsey', 'jane new', 'thomas francis dorsey', 'tommy dorsey s orchestra', 'jane dorsey', 'tommy dorsey and his orchestra', 'thomas francis 22tommy 22 dorsey jr', 'tommy dorsey orchestra']"
Which male Russian won the 100/200 metre double at the 1972 Olympics?,"100m: Robert Taylor, 200m: Valeriy Borzov
","[[0.1208532303571701, 0.8791467547416687]]","['valeriy borzov', 'valeri borzov', 'valery borsov', 'valery borzov']"
Sir Ronald Ross was the first British winner of the Nobel Prize for Medicine in 1902 for his research in combating which disease?," Malaria
","[[0.4493926465511322, 0.5506073832511902]]","['malaria infection', 'paludism', 'malarious fever', 'malarias', 'malaria prevention', 'fever and ague', 'malaria', 'cerebral malaria', 'malaria paroxysms', 'marsh fevers', 'severe malaria', 'malaria cerebral', 'malariology', 'malarial fever', 'agues', 'swamp malaria', 'falciparum malaria', 'falciform malaria', 'pernicious fever', 'tertian fever', 'mala aria', 'tertian malaria', 'malariologist', 'malarial', 'maleria', 'vivax malaria']"
Which painter married Hortense Fiquet and used her as the subject of many of his paintings?," Monet
","[[0.3849121630191803, 0.6150878667831421]]","['cézanne medal', 'cezannian', 'paul cezane', 'paul cézanne', 'cezannesque', 'cézannesque', 'cezanne medal', 'cezanne', 'paul cezanne', 'cézanne', 'cézannian']"
"On this day in 1993, in a UN backed referendum, Eritreans voted overwhelmingly in favour of independence from which country ?"," Ethiopia
","[[0.4455295503139496, 0.5544704794883728]]","['democratic republic of ethiopia', 'ኢትዮጵያ', 'aethiopia', 'federal democratic republic of ethiopia', 'ethiopioa', 'ethopian', 'ethiopian', 'iso 3166 1 et', 'ityop ia', 'ethiopai', 'etheopia', 'ityoṗṗya', 'names of ethiopia', 'name of ethiopia', 'abysinna', 'federal republic of ethiopia', 'abbysinnia', 'fdre', 'æthiopia', 'etymology of ethiopia', 'ethiop', 'prehistory of ethiopia', 'ityop iya', 'ityop pya', 'ethiopia', 'ethiopean', 'abissinia', 'ītyōṗṗyā', 'etiopia', 'ʾītyōṗṗyā', 'habeshistan', 'ityoppya']"
Which angel in Charlie's Angels was played by Jaclyn Smith,"1st
","[[0.17328819632530212, 0.8267117738723755]]",['kelly garrett']
"Which country has borders with the Central African Republic, Sudan, Zambia, Angola, the Republic of the Congo, Uganda, Rwanda and Burundi (with Tanzania across Lake Tanganyika)?"," Tanzania
","[[0.3775406777858734, 0.622459352016449]]","['republique democratique du congo', 'south congo', 'dem rep congo', 'belgian ubanghi', 'congo leopoldville', 'corruption in democratic republic of congo', 'ckn', 'congo democratic republic of', 'congo kinsasha', 'd r congo', 'droc', 'congo k', 'congo drc', 'congo kinshasha', 'congo democratic republic', 'drc', 'description of democratic republic of congo', 'big congo', 'dr congo', 'congo dr', 'sport in democratic republic of congo', 'democratic republic of congo', 'drc congo', 'congo kinshasa', 'drotc', 'dr of congo', 'iso 3166 1 cd', 'republic zaire', 'congo democratic rep', 'democratic rep of congo', 'république démocratique du congo', 'congo 2c democratic republic of', 'democractic republic of congo', 'rd congo', 'rape capital of world', 'dem rep of congo', 'ubanghi belgian', 'd r c']"
"Which battle of 23 June, 1757, was a major victory for the British East India Company's troops over the Nawab of Bengal and his French allies?"," Battle of Plassey
","[[0.4073334336280823, 0.5926666259765625]]","['battle of palashi', 'battle of plessey', 'battle of plassey', 'battle of plessy', 'palashi ka yuddha', 'battle of palashee', 'battle of plassy', 'battle of palashey']"
"In woodworking joints, what do you insert into your mortise?"," Tenon
","[[0.7431679368019104, 0.25683197379112244]]","['tenons', 'tenon disambiguation', 'tenon', 'ténon']"
"""What type of car was """"KITT"""" from the """"Knightrider"""" series?""","1986 Pontiac Firebird Trans Am
","[[0.3486451804637909, 0.6513549089431763]]","['pontiac firebird trans am', 'pontiac transam', '1969 pontiac firebird', 'pontiac trans am', 'pontiac firebird second generation', 'trans am', 'firebird car', 'pontiac firebird', 'pontiac firebird formula', 'screaming chicken', 'pontiac firehawk', 'trans am car', 'flaming chicken', 'pontiac turbo trans am']"
In which year did Queen Elizabeth the Queen Mother die?,"2002
","[[0.2628418505191803, 0.7371581792831421]]","['2002', 'two thousand and two']"
Name the two tiles with the highest score in Scrabble?,"15 points
","[[0.4687906503677368, 0.531209409236908]]",['q and z']
What was Orson Welles’ first film?," Citizen Kane
","[[0.5389832258224487, 0.46101677417755127]]","['citzen kane', 'citizen cane', 'citizen caine', 'c f kane', 'jim gettys political boss', 'citizen cain', 'citizen kane', 'jim gettys villain', 'citicen kane', 'xitizen cain', 'jedediah leland', 'charlie kane']"
"""According to the opening line of T.S. Eliot's poem 'The Wasteland', which is """"the cruellest month""""?""","1922
","[[0.30074557662010193, 0.6992543935775757]]","['april', 'april album', 'april film', 'april disambiguation']"
What are Ponte Vecchio and Pont Neuf?,"2 bridges in Florence and Paris
","[[0.4378235340118408, 0.562176525592804]]","['double deck bridge', 'bidge', 'railroad bridge', 'railway bridge', 'bridge failures', 'bridge railing styles', 'bridge railing', 'bridge building', 'types of bridges', '🌉', 'bridgecraft', 'brigecraft', 'railway bridges', 'bridge railing style', 'bridge engineering', 'bridges', 'bridge structure', 'bridge', 'road bridge', 'rail bridge', 'road bridges', 'bridge abutments', 'bridge failure']"
Which year was renowned as ‘The Year of Revolutions’?,"1848
","[[0.36296921968460083, 0.6370307803153992]]","['1848', 'one thousand eight hundred and forty eight']"
Who played the mad legless Captain Rum in the second series of Blackadder?,"1996
","[[0.3557748794555664, 0.6442250609397888]]","['thomas stewart baker', 'tom baker', 'thomas stewart 22tom 22 baker']"
"Which musical, for long entrenched at the Palace theatre in London, is currently running at the Queens theatre ?","42nd Street
","[[0.3073580265045166, 0.6926419734954834]]","['grantaire', 'characters of les miserables', 'monsieur javert', 'le mes', 'characters of les misérables', 'les miserables', 'miserable ones', 'fauchelevent', 'les misèrables', 'les misérables', 'epanine', 'les misérables victor hugo', 'plot of les miserables', 'azelma', 'les miserable', 'plot of les misérables', 'champmathieu', 'little cosette']"
"""What insect acts as the transmitting agent in the spread of the infectious disease """"Bubonic Plague""""?"""," Fleas
","[[0.29746994376182556, 0.7025300860404968]]","['3 4 methylenedioxyhydroxylmethylamphetamine', 'mdohma', '3 4 methylenedioxy n hydroxyl n methylamphetamine', 'methylenedioxyhydroxymethamphetamine', '3 4 methylenedioxyhydroxymethylamphetamine', '3 4 methylenedioxy n hydroxy n methylamphetamine', 'flea psychedelics', '3 4 methylenedioxy n methyl n hydroxyamphetamine', 'methylenedioxyhydroxylmethylamphetamine', 'mdmoha', 'mdhma', 'flea', 'methylenedioxyhydroxymethylamphetamine', '3 4 methylenedioxyhydroxylmethamphetamine', '3 4 methylenedioxy n methyl n hydroxylamphetamine', '3 4 methylenedioxy n hydroxymethamphetamine', 'flea psychedelic', 'methylenedioxymethylhydroxyamphetamine', 'methylenedioxyhydroxylmethamphetamine', 'mdmha', '3 4 methylenedioxy n hydroxylmethamphetamine']"
Who was born Vera Margaret Welsh on 20th March 1917?," Bette Davis
","[[0.4843800961971283, 0.5156199336051941]]","['shopping vera lynn song', 'sleeping time', 'vera margaret lewis lynn', 'vera lynn discography', 'vera lyn', 'vera lynn', 'dame vera lynn', 'riding my bike', 'vera lynne']"
"Castor (or castoreum) is an oily substance secreted by which animal, and historically used in medicine and perfume?","1. Beaver 2. Bear 3. Fox 4. Moose 5. Rabbit
","[[0.49218809604644775, 0.5078118443489075]]","['beaverdams', 'beaver pelt', 'beaverdam habitat', 'beaver', 'beavers', 'beaver lodge', 'beaver houses', 'castor zoology', 'salt water beavers', 'beaver house', 'castor genus', 'beever']"
Who did Jai McDowall beat in this years final of Britain's Got Talent?,"2011
","[[0.13846179842948914, 0.8615382313728333]]",['ronan parke']
The staging of what enormous annual Afro-Caribbean cultural gathering was put in doubt following the London riots of August 2011?,"2011 Notting Hill Carnival
","[[0.28776779770851135, 0.7122321724891663]]",['notting hill carnival']
Kronos (or Cronus) was the Greek equivalent of which Roman god?," Saturn
","[[0.4455295503139496, 0.5544704794883728]]","['saturn planet', 'saturn astronomy', 'planet saturn', 'atmosphere of saturn', 'sol vi', 'sun g', 'saturn', 'sixth planet', 'sol g', '♄', 'saturno planet', 'saturnus planet', '6th planet', 'sol 6', 'weather of saturn', 'astronomy saturn', 'saturn s']"
What was the capital of West Germany?," Bonn
","[[0.3073580265045166, 0.6926419734954834]]","['bönnsch beer', 'bonn district', 'bundesdorf', 'bonn', 'bonn am rhein', 'schwarzrheindorf vilich rheindorf', 'bonnsch beer', 'schwarzrheindorf', 'bonna', 'castra bonnensis', 'bonn germany', 'un locode debon', 'boennsch beer', 'capital of west germany']"
In which year did the liner Queen Mary gain the blue riband on her maiden voyage?,"1934
","[[0.314050555229187, 0.6859495043754578]]","['1936', 'one thousand nine hundred and thirty six']"
'Simon Tappertit' appears in which novel by Charles Dickens?," Oliver Twist
","[[0.4532618224620819, 0.5467381477355957]]","['mr haredale', 'dolly varden character', 'barnaby rudge', 'barnaby rudge tale of riots of eighty']"
"Which film starring Bill Murray includes the line Roses are red, violets are blue, I'm a schizophrenic and so am I?","1984 film Lost in Translation
","[[0.3208213150501251, 0.6791787147521973]]","['what about bob 1991 film', 'what about bob 3f film', 'what about bob 3f', 'what about bob', 'what about bob 3f 1991 film', 'what about bob film', 'bob wiley']"
What beer was advertised with the slogan Reach for Greatness,"80/20
","[[0.29421496391296387, 0.7057850360870361]]","['bass musical term', 'basses', 'bass disambiguation', 'bass']"
"House, Hogline, Hacks and Button are all terms used in which sport?","10 pin bowling
","[[0.5, 0.5]]","['curling sheet', 'curling rink', 'curling shoes', 'button curling', 'hammer curling', 'curling stone', 'roaring game', 'curling sport', 'curling', 'sweeping sport', 'curling broom', 'chess on ice', 'curling rock', 'history of curling', 'free guard zone']"
What is the name of the policeman in The Noddy stories," Mr. Plod
","[[0.5117166042327881, 0.4882833957672119]]",['p c plod']
"""Who is """"able to leap tall buildings in a single bound""""?""","007
","[[0.2689414322376251, 0.7310585975646973]]","['supes', 'superman clark kent', 'kal el', 'supertman', 'übermensch', 'man of tomorrow', 'more powerful than locomotive', 'kirk brent', 'codename patriot', 'stalmannen', 'superman comics', 'faster than speeding bullet', 'superman costume', 'superman secret files', 'superman fictional character', 'superman dc comics', 'jordan elliot', 'super man', 'action ace', 'big blue cheese', 'supaaman', 'big blue boy scout', 'ubermensch', 'superman character', 'gojjum', 'superman', 'metropolis marvel', 'stålmannen', 'superman kal el', 'supraman', 'able to leap tall buildings in single bound']"
"Name the popular writer, who died in 2010, and who rode the Queen Mother's horse Devon Loch when it inexplicably belly-flopped out of contention in the 1956 Grand National?"," Dick Francis
","[[0.4804787039756775, 0.5195213556289673]]","['richard stanley francis', 'dick francis', 'shattered dick francis novel']"
During which year did the UK television series ‘Emmerdale Farm’ change its title to ‘Emmerdale’?,"1994
","[[0.3849121630191803, 0.6150878667831421]]","['one thousand nine hundred and eighty nine', '1989']"
What atmospheric layer is damaged by chlorofluorocarbons?,"10
","[[0.23370636999607086, 0.7662936449050903]]","['stratosphere ozone', 'stratospheric ozone', 'ozonosphere', 'ozone shield', 'ozone layer']"
In which country did Idi Amin settle and die after his exile from Uganda?,"4th of February Republic of the Congo
","[[0.2845759987831116, 0.7154240012168884]]","['saudi arabaia', 'sauri arabia', 'third saudi state', 'iso 3166 1 sa', 'saudi', 'languages of saudi arabia', 'saudi arabian citizen', 'السعودية', 's arabia', 'k s', 'ksa', 'saudiarabia', 'saudi arabia', 'saudi arabian kingdom', 'saudia arabia', 'etymology of saudi arabia', 'saoudi arabia', 'arabie saoudite', 'saudi arab', 'saudi kingdom', 'kingdom of saudi arabia', 'saudi arabian', 'arabia of sauds', 'al arabiyah as sa udiyah', 'المملكة العربية السعودية', 'saudi map']"
Which ancient relic was stolen by Scottish Activists from Westminster Abbey and returned to Scotland on Christmas day in 1950?,"13th century stone cross
","[[0.22000709176063538, 0.7799928784370422]]","['jeremiah stone', 'stone of scone', 'stone of scoon', 'scone stone', 'tanist stone']"
The cha-cha-cha is a dance developed from the mambo in 1950 in which country?," Cuba
","[[0.6297746300697327, 0.3702253997325897]]","['cuba', 'people s republic of cuba', 'administrative divisions of cuba', 'cuban news agency', 'iso 3166 1 cu', 'etymology of cuba', 'isla juana', 'communist cuba', 'second republic of cuba', 'republic of cuba', 'república de cuba', 'cuba island', 'republica de cuba', 'prehistory of cuba', 'red cuba', 'name of cuba', 'subdivisions of cuba']"
Where in the body is the stapes bone?,"3rd middle ear bone
","[[0.3415825068950653, 0.6584175229072571]]","['ear disambiguation', 'ear']"
For which minor sport do the USA and Europe compete annually for the Mosconi Cup?,"9-ball
","[[0.28140559792518616, 0.7185943722724915]]","['pools', 'pool', 'pool disambiguation', 'pool film', 'pooling disambiguation', 'pooling']"
Nicky Morgan is the current Secretary of State of which Government Department?," Education
","[[0.562176525592804, 0.4378235340118408]]","['education system', 'educaton', 'educatee', 'education programme', 'galician universities', 'intellectual education', 'education issue', 'educationally', 'education program', 'educationists', 'teaching', 'book learning', 'educationism', 'educations', 'educational policy', 'uneducable', 'educably', 'educatability', 'uneducableness', 'uneducability', 'education', 'educationalist', 'educational issues', 'educating', 'educable', 'educational', 'educational system', 'educableness', 'educate', 'n 8 school', 'educationist', 'educability', 'educates', 'educated', 'education studies', 'educators', 'educationalists', 'uneducably']"
What is the art of decorating materials with marks resulting from the controlled application of a heated object?," Embossing
","[[0.5926666259765625, 0.4073334336280823]]","['pokerwork', 'pyrographies', 'pyrographers', 'poker work', 'pyragraphy', 'wood burning', 'pyrograph', 'pyrogravure', 'woodburning', 'pyrography']"
In which event did Amy Williams win a gold medal for Britain at the 2010 Winter Olympics?,"1000m Sprint
","[[0.25091278553009033, 0.7490872144699097]]","['women s skeleton', 'bob skeleton', 'skeleton racing', 'skeleton sport', 'skeleton winter sports', 'skeleton bob', 'skeleton sledding']"
What colour is the flesh of a lychee?," Red
","[[0.4035668671131134, 0.596433162689209]]","['color white', 'white political adjective', 'whitishness', 'rgb 255 255 255', '255 255 255', 'ffffff', 'whitishly', 'white colour', 'man on white horse', 'white', 'whiter', 'white finn', 'whitest']"
"Which US singer has had albums called 'Daydream', 'Butterfly', 'Rainbow' and 'Glitter'?"," Whitney Houston
","[[0.39606812596321106, 0.6039317846298218]]","['album chart statistics', 'mariah cary', 'maria carrey', 'maria carey', 'time of your life mariah carey', 'mariah cannon', 'time of your life mariah carey song', 'mariahcarey', 'mariah carey discography disambiguation', 'mariah karey', 'mariah carey discography', 'mariah carrey', 'mariah carey', 'mariah carey music videos videography', 'automatic princess', 'time of your life ring tone', 'list of songs by mariah carey', 'mariah zinfandel', 'moriah carey', 'mariah carey albums', 'time of your life mariah', 'list of music videos for mariah carey singles']"
Who was Jessica Rabbit's husband?," Eddie
","[[0.3923368752002716, 0.6076632142066956]]","['eddie valiant', 'benny cab', 'who framed roger rabbit characters', 'list of who framed roger rabbit characters', 'roger rabbit character', 'judge doom', 'roger rabbit', 'rodger rabbit', 'baby herman', 'toon patrol']"
Which composer's music forms the basis of the ballet Pineapple Poll?,"18th century
","[[0.2689414322376251, 0.7310585975646973]]","['sullivan disambiguation', 'sullivan crater', 'sullivan']"
"Which singer appears as bar-owner 'JD' in the film 'Lock, Stock and two Smoking Barrels'?","2 Tone
","[[0.19682618975639343, 0.8031737804412842]]","['stinging', 'sting', 'sting disambiguation', 'stings', 'sting pain']"
"In the final Harry Potter novel, who becomes headmaster of Hogwarts School?"," Albus Dumbledore
","[[0.5660185217857361, 0.4339814782142639]]","['tobias snape and eileen prince', 'half blood prince character', 'serverus snape', 'professor snape', 'severus snape', 'severus prince', 'snivellus', 'half blood prince', 'tobias snape', 'eileen prince', 'severes snape']"
Who wrote the play 'Private Lives'?," Coward
","[[0.39606812596321106, 0.6039317846298218]]","['coward sir noel pierce', 'cowardian', 'coward sir noël peirce', 'sir noel coward', 'hernia whittlebot', 'noël coward', 'marquise', 'nöel coward', 'sir noël pierce coward', 'noël pierce coward', 'queen was in her parlour', 'sir noël peirce coward', 'cowardesque', 'star quality short story', 'sir noël coward', 'noel peirce coward', 'sir noel peirce coward', 'noel coward', 'sir noel pierce coward', 'noël peirce coward', 'star quality play', 'noeel coward']"
In which North African country was Yves St. Laurent born as Henri Donat Mathieu?,"1936
","[[0.3849121630191803, 0.6150878667831421]]","['al jumhuriyah al jaza iriyah ad dimuqratiyah ash shabiyah', 'algeria', 'algerian peoples democratic republic', 'republic of algeria', 'algery', 'al jumhūrīyah al jazā irīyah', 'الجزائر', 'people s republic of algeria', 'الجمهورية الجزائرية الديمقراطية الشعبية', 'etymology of algeria', 'iso 3166 1 dz', 'algerie', 'popular democratic republic of algeria', 'algeria country', 'ad dīmuqrāṭīyah ash sha bīyah', 'name of algeria', 'people s democratic algerian republic', 'subdivisions of algeria', 'algérie', 'people s democratic republic of algeria', 'algerian state', 'algerian people s democratic republic', 'subdivision of algeria', 'administrative divisions of algeria', 'république algérienne démocratique et populaire', 'al jumhuriyah al jaza iriyah', 'dzayer', 'ad dimuqratiyah ash sha biyah']"
"In the George Orwell novel Animal Farm, what sort of animal was Napoleon ?"," Pig
","[[0.6513549089431763, 0.3486451804637909]]","['pigs album', 'pig disambiguation', 'pig game', 'pig film', 'pig mammalia', 'pigs film', 'pigs', 'pigs disambiguation', 'pig']"
Who wrote the books ‘The Good Companions’ and ‘An Inspector Calls’?," J B Priestley
","[[0.5389832258224487, 0.46101677417755127]]","['j b preistley', 'j b priestly', 'john boynton priestley', 'j b priestley', 'jb priestley']"
"Which nickname was given to the American WWII general, George Patton?","7th Army Group
","[[0.17781086266040802, 0.8221890926361084]]",['blood and guts']
What language did the Pennsylvania Dutch speak?," German
","[[0.562176525592804, 0.4378235340118408]]","['german', 'germans disambiguation', 'german disambiguation']"
Which Indian tribe did Sitting Bull belong to?," Lakota
","[[0.30074557662010193, 0.6992543935775757]]","['eastern sioux', 'sioux people', 'soo', 'na˙towe˙ssiw', 'su people', 'ihanktonwan', 'su', 'sue', 'sioux', 'sue people', 'siouian', 'soo people', 'oceti sakohowin', 'sioux indian', 'souix']"
"On this day, 8th November, which famous poet who was blind in his later years, died in his home in London in 1647?"," John Milton
","[[0.43014734983444214, 0.5698526501655579]]","['miltonists', 'j milton', 'joannis miltoni', 'miltonesque', 'milton john', 'post miltonic', 'miltonic', 'giovanni milton', 'miltonian', 'katherine woodcock', 'fleecy star', 'john milton', 'milton j', 'miltonist']"
"The wood from which common tree was traditionally used to make tennis racquets, snooker cues and hockey sticks"," Birch
","[[0.6001883149147034, 0.39981159567832947]]","['ash disambiguation', 'ash']"
Who was the son of King John and Isabella of Angoulme who became King of England when 9 years old?,"1st Henry
","[[0.16667540371418, 0.8333246111869812]]","['enrique iii', 'henry iii disambiguation', 'henry third', 'henry iii', 'heinrich iii', 'hendrik iii', 'enrico iii', 'henry 3', 'king henry iii']"
"Which country was proclaimed a republic in 1867, following the withdrawal of the French administration and the execution of Emperor Ferdinand Maximilian?"," Mexico
","[[0.39981159567832947, 0.6001883149147034]]","['mexican coast', 'united mexican states', 'mexican united states', 'mexxico', 'mexic', 'estados unidos de mexico', 'mexique', 'mountains of mexico', 'mehico', 'republic of mexico', 'mexican republic', 'sierra de la estrella', 'mexican', 'united states of mexico', 'central mexico', 'eum', 'estados unidos mexicanos', 'old mexico', 'etymology of mexico', 'iso 3166 1 mx', 'untied mexican states', 'messico', 'mexico country', 'mexiko', 'mexican union', 'meixcan', 'estados unidos de méxico', 'united states of mexicans', 'mexican federal republic', 'mejico', 'united state of mexico', 'méxico', 'mexico', 'mexicó', 'méjico']"
Which Grand Slam tournament uses the distinctive serving pose of the Swedish player Stefan Edberg on its logo?," Wimbledon
","[[0.29746994376182556, 0.7025300860404968]]","['australasian championships tennis', 'ozzy open', 'australian open main draw wildcard entries', 'australian open juniors', 'aus open', 'australian championships', 'australian open tennis', 'grand slam of asia pacific', 'australian open – main draw wildcard entries', 'australian open', 'australian tennis open', 'australian open december', 'australian open january', 'australasian champion', 'australasian championships', 'australian championships tennis', 'australian open qualifiers', 'australia open', 'australian open wildcards', 'aussie open']"
Who acceded the English throne after the death of Edward III?," Richard II
","[[0.3849121630191803, 0.6150878667831421]]","['richard ii king of england', 'richard ii', 'richard ii of england', 'richard duke of cornwall', 'king richard ii', 'richard ii england', 'richard ii king of english', 'king richard ii of england']"
"What Latin term is used to mean 'word for word', or 'exactly the same words'?","ipsis verbis
","[[0.42250463366508484, 0.5774953365325928]]","['verbatim disambiguation', 'verbatum', 'verbatim']"
The green jersey is worn by the Tour de France's?,"1st placed cyclist
","[[0.16885696351528168, 0.8311430811882019]]",['best sprinter']
How many apostles are there in the painting ‘The Last Supper’ by Leonardo da Vinci?,"12
","[[0.28140559792518616, 0.7185943722724915]]","['twelve', '12']"
In which country did the Contras battle the Sandinistas throughout most of the 1980s?," Nicaragua
","[[0.4148988425731659, 0.5851011276245117]]","['republic of nicaragua', 'nicaragua central america', 'nicarugua', 'republica de nicaragua', 'etymology of nicaragua', 'bibliography of nicaragua', 'health in nicaragua', 'nicaragua', 'subdivisions of nicaragua', 'nicaraguan', 'administrative divisions of nicaragua', 'república de nicaragua', 'nicuragua', 'sport in nicaragua', 'iso 3166 1 ni']"
