question,answer,logits,normalized_aliases
Rugby league. Which European Super League team are known as the ‘Giants’?,"1995
","[[0.2689414322376251, 0.7310585975646973]]","['huddersfield', 'huddersfield england', 'huddersfield town hall', 'county borough of huddersfield']"
What was the former name of Jaguar motors,"1922: Swallow
","[[0.25091278553009033, 0.7490872144699097]]","['swallow coachbuilding co 1935 ltd', 'swallow sidecar company']"
"""Who directed the 2005 film """"Munich""""?"""," Steven Spielberg
","[[0.33111974596977234, 0.66888028383255]]","['spielberg', 'stephen allan spielberg', 'theo speilberg', 'spielbergian', 'steven speilberg', 'spealberg', 'steven spielberg', 'stephen speilberg', 'steve spielberg', 'speilberg', 'spielburg', 'steven spielburg', 'steven spilberg', 'steven allan spielberg', 'steven spielberg biography', 'stephen spielberg']"
What was landscape gardener Capability Brown's proper christian name," Brown
","[[0.5583270192146301, 0.44167301058769226]]","['joyousgard', 'launcelot', 'launcelot du lac', 'arondight', 'sir lancelot du lac', 'joyous gard', 'llenlleawg', 'sir launcelot', 'lancelot of lake', 'joyous garde', 'lancelot du lac', 'lancelot', 'joyous guard', 'chevalier mal fet', 'sir launcelot du lake', 'llwch llenlleawg', 'aroundight', 'sir lancelot', 'sir lancealot', 'evaine']"
"In Norse mythology, what is the name of Odin's eight-legged horse?","8-legged horse
","[[0.272024542093277, 0.7279754281044006]]","['odin s horse', 'sleipne', 'slepnir', 'sleipnir']"
Sion Airport is in which European country?," Wales
","[[0.4532618224620819, 0.5467381477355957]]","['der schweiz', 'switzeland', 'confederation helvetia', 'confederatio helvetica', 'swissland', 'switzerland information', 'confederation suisse', 'switserland', 'confédération suisse', 'swizterland', 'confederation of helvatia', 'swizerland', 'svizzera', 'confederation helvetica', 'land of switzers', 'suiza', 'confederaziun svizra', 'schweiz', 'etymology of switzerland', 'die schweiz', 'suisse', 'confederazione svizzera', 'swiss', 'svizra', 'switzerland', 'schweitz', 'swiss confederation', 'switz', 'svissland', 'schwitzerland', 'environmental integrity group', 'land of swiss', 'schweizerische eidgenossenschaft', 'swissenergy', 'confœderatio helvetica', 'confoederatio helvetica', 'switzer land', 'švýcarsko', 'swiss confederated states', 'iso 3166 1 ch']"
"Hoss, Little Joe and Ben are characters in which US tv series?","77 Sunset Strip
","[[0.23370636999607086, 0.7662936449050903]]","['little joe character', 'ben cartwright character', 'bonanza tv series', 'hoss cartwright', 'bonanza', 'jamie hunter cartwright', 'adam cartwright', 'little joe cartwright character', 'bonanza film', 'little joe cartwright', 'jamie cartwright', 'joseph francis cartwright', 'jamie hunter']"
The Buddy Holly song That'll Be the Day is said to have been inspired by what John Wayne film?,"3 Godfathers
","[[0.1919327825307846, 0.8080672025680542]]","['searchers disambiguation', 'searchers']"
What is the highest mountain in Austria?,"3666m Grossglockner
","[[0.3073580265045166, 0.6926419734954834]]","['gross glockner', 'großglockner', 'glocknerscharte', 'grossglockner']"
"Chartwell, the former home of Winston Churchill is in which county?"," Kent
","[[0.36296921968460083, 0.6370307803153992]]","['kent county', 'kent england', 'garden of england', 'kent', 'culture in kent', 'wilsley green', 'winkhurst green', 'sport in kent', 'kent county england', 'education in kent', 'county of kent england', 'cantium', 'rhoden green', 'county of kent', 'county kent']"
Daniel Deronda was the last novel written by which English novelist?,"1876
","[[0.4455295503139496, 0.5544704794883728]]","['mary ann cross', 'mrs cross', 'marian evans', 'g eliot', 'eliot george', 'mary ann evans', 'george eliot', 'george marian evans eliot']"
"""Who starred as AC Slater in """"Saved by the Bell""""?"""," Scott Wolf
","[[0.35220178961753845, 0.6477982401847839]]","['mario lópez', 'mario lopez', 'courtney mazza']"
"In nature, what does a dendrologist study?"," Trees
","[[0.5234203934669495, 0.4765796959400177]]","['wood layers', 'big tree', 'trees', 'sapling', 'parts of tree', 'treee', 'treed', 'arboreus', 'tree', 'macrophanerophyte', '🌳']"
What is kitchen tin foil made from?,"98% aluminium
","[[0.4378235340118408, 0.562176525592804]]","['super purity aluminium', 'alliminuim', 'aluminum compounds', 'billeted aluminum', 'super purity aluminum', 'aluminium element', 'aluminium production', 'aluminium metal', 'billet aluminium', 'al element', 'alumine', 'alumnium', 'alumino', 'e173', 'aluminium ii', 'alluminum', 'aluminium', 'alumium', '7429 90 5', 'aluminum', 'aluminum granules', 'alumen projection', 'aluminium substratum', 'aiuminum', 'aliuminium', 'element 13', 'alumen', 'aluminium poisoning']"
The Folketing is which country’s parliament?," Denmark
","[[0.531209409236908, 0.4687906503677368]]","['dinamarca', 'denmarc', 'danimarca', 'mainland denmark', 'denmarke', 'kingdom of denmark', 'danemark', 'danmoerk', 'denmark', 'danska', 'danmork', 'denemarke', 'media of denmark', 'iso 3166 1 dk', 'danish kingdom', 'daenemark', 'kingdomofdenmark', 'administrative divisions of denmark', 'dänemark', 'subdivisions of denmark', 'kongeriget danmark', 'danmörk', 'eastern denmark', 'denmark proper', 'media in denmark']"
"Jim Reeves, Marty Robbins and Dolly Parton are associated with what style of music?","60s country
","[[0.43014734983444214, 0.5698526501655579]]","['coutnry', 'countries', 'country', 'countrie', 'countrys']"
"From 1922-1933, with which School of Art was Wassily Kandinsky particularly associated?","1922-1933
","[[0.16451646387577057, 0.8354835510253906]]","['bauhaus', 'bauhaus movement', 'bauhaus and its sites in weimar and dessau', 'bauhaus architecture', 'bauhaus manifesto', 'bauhaus design', 'staatliches bauhaus', 'bahaus', 'bauhaus dessau', 'bauhaus school', 'bauhaus art school']"
The columns of the Parthenon in Athens are a famous example of which architectural style?," Doric
","[[0.5, 0.5]]","['northeast scots', 'doric language', 'doric', 'doric dialect', 'mid northern scots', 'doric dialect scotland', 'doric scots']"
"What is the ancient axe-like hand tool used for shaping wood, especially in boat-building, with a curved blade at right angles to the line of the handle (unlike a conventional axe whose blade is in line with the handle)?"," adze
","[[0.562176525592804, 0.4378235340118408]]","['adzes', 'adze', 'rounding adz', 'adz']"
What seven-letter word means “A Russian tea urn”?,"7-up
","[[0.562176525592804, 0.4378235340118408]]","['samowar', 'zavarka', 'samovar', 'electric samovar', 'semaver']"
"Spokes, Ribs, Rim Row and Lashing are all terms used in which handicraft?","19th century basket making
","[[0.36296921968460083, 0.6370307803153992]]","['basket weaver', 'basket making', 'basketmaking', 'basketmaker', 'basket weave', 'basket weaving', 'basketry']"
