question,answer,normalized_aliases,accurate_judgement,logits
"Located in Holyoke, Ma, the town in which the sport was created, what Hall of Fame is located at 444 Dwight St?"," Basketball
","['court volleyball', 'libero volleyball', 'volley ball', 'serve volleyball', 'rally point system', 'spike volleyball', 'v ball', 'volleyball rules', 'indoor volleyball', 'lebro', 'volleyball', 'vollyball', 'mintonette', 'volleyball court', 'volleyball dig', 'history of volleyball', 'setter volleyball', 'outside hitter', 'high school volleyball', '🏐']",Incorrect,"[[0.5851011276245117, 0.4148988425731659]]"
Ceylon is the former name of what country?," Sri Lanka
","['etymology of sri lanka', 'subdivisions of sri lanka', 'ceylon', 'hela diva', 'sri lanka government', 'ceilan', 'iso 3166 1 lk', 'śrī laṃkāva', 'sri lankan martial arts', 'venerable island', 'seilan', 'tourist sri lanka', 'helaya', 'sri lamka', 'sulloon', 'ilankai', 'republic of sri lanka', 'free sovereign and independent republic of sri lanka', 'cejlon', 'ilaṅkai jaṉanāyaka choṣhalichak kuṭiyarachu', 'socialist republic of sri lanka', 'sri lankan', 'shri lamka prajatantrika samajaya di janarajaya', 'heladiva', 'srí lanka', 'ilankai jananayaka', 'island of ceylon', 'independence of sri lanka', 'இலங்கை', 'sri lankan republic', 'sri lanak', 'srilanka', 's lanka', 'ශ්\u200dරී ලංකා ප්\u200dරජාතාන්ත්\u200dරික සමාජවාදී ජනරජය', 'democratic socialist republic of sri lanka', 'sielediva', 'administrative divisions of sri lanka', 'ceylonese', 'provincial capitals of sri lanka', 'choshalichak kutiyarachu', 'sri lanca', 'sir lanka', 'sri lanka', 'இலங்கை சனநாயக சோசலிசக் குடியரசு', 'ceilao', 'ilaṅkai', 'ilankai jananayaka choshalichak kutiyarachu']",Correct,"[[0.9761291742324829, 0.023870835080742836]]"
"Name the author of the novel 'The Van', shortlisted for the 1991 Booker Prize."," Roddy Doyle
",['roddy doyle'],Correct,"[[0.8774768114089966, 0.1225232183933258]]"
"What highly toxic element was traditionally used in thermometers, posing a substantial safety and disposal risk?"," Mercury
","['merdcury', 'mercury album', 'mercury disambiguation', 'mercury', 'murcury']",Correct,"[[0.9603611826896667, 0.03963883966207504]]"
Which historical 17th century event was recorded by diarists samuel Pepys and John Evelyn who reecorded the events and their own reactions day by day?,"1666 Great Plague of London
","['london fire of 1666', 'fire of london', 'great london fire', 'great fire of 1666', 'london s great fire', 'thomas farynor', 'thomas farriner', 'london fire', 'great fire of london', '1666 london fire']",Incorrect,"[[0.2991051971912384, 0.700894832611084]]"
"In what country, the world's seventh largest by geographical area, is Christmas known as Bada Din (the big day)?"," India
","['భారత గణతంత్ర రాజ్యము', 'భారత రిపబ్లిక్', 'bhārtiya prajāsattāk', 'republic of india', 'ভারত', 'hindio', 'ਭਾਰਤ ਗਣਤੰਤਰ', 'भारतीय प्रजासत्ताक', 'ભારતીય ગણતંત્ર', 'indea', 'ভারত গণরাজ্য', 'இந்தியக் குடியரசு', 'india country', 'les indes', 'هندستانڀارت،', 'etymology of india', 'भारतमहाराज्यम्', 'india', 'جمہوٗرِیت بًارت', 'भारतीय गणराज्याच्या', 'ভারতরাষ্টৃ', 'india s', 'ভারতীয় প্রজাতন্ত্র', 'ഭാരത മഹാരാജ്യം', 'bhārat gaṇarājya', 'ভাৰত গণৰাজ্য', 'ଭାରତ ଗଣରାଜ୍ଯ', 'இந்திய', 'जुम्हूरियत भारत', 'union of india', 'hindistan', 'indya', 'bhart', 'iso 3166 1 in', 'bharat ganrajya', 'भारत गणराज्य', 'indian republic', 'ಭಾರತ ಗಣರಾಜ್ಯ', 'indian state', 'جمہوریہ بھارت', 'iso 3166 1 alpha 3 ind']",Correct,"[[0.8175744414329529, 0.18242551386356354]]"
"Who, with Steve Jobs, founded Apple Computers?"," Steve Wozniak
","['stephen gary wozniak', 'stephen wozniak', 'wozzie', 'stephan wozniak', 'wizard of woz', 'woz', 'steve woz', 'steve wozniack', 'steve wozniak', 'stephen g wozniak']",Correct,"[[0.6039317846298218, 0.39606812596321106]]"
Where is Iraq's main port?," Basrah
","['basrah', 'al başrah', 'busreh', 'al baṣrah', 'al basrah', 'basra iraq', 'bussora', 'abillah', 'basra region', 'basra', 'al obolla', 'al basra', 'bassora', 'bassorah']",Correct,"[[0.8749346137046814, 0.1250653862953186]]"
Domenico Gaetano were the Christian name of which 19th century composer?," Gaetano Donizetti
","['domenico gaetano maria donizetti', 'donizetti', 'operas by gaetano donizetti', 'donnizetti', 'gaetano donizetti']",Correct,"[[0.8832359910011292, 0.11676400899887085]]"
Which English world championship darts player walks onto the stage to the tune of ‘Rock and Roll’ by Led Zeppelin?," Phil Taylor
",['john lowe'],Incorrect,"[[0.9019206762313843, 0.09807932376861572]]"
Vernal refers to which season?," Spring
","['spring symphony', 'springs', 'spring album', 'spring', 'spring disambiguation']",Correct,"[[0.8816148638725281, 0.11838509142398834]]"
