question,answer,normalized_aliases
Which theory states that 'people tend to rise to their own level of incompetence'?,"1970s
","['peter principle', 'promote to fail', 'managing upward', 'tabulology', 'hierarchiology', 'peter s principle', 'peter principal']"
Which writer was the father of Christopher Robin?," A. A. Milne
","['daphne de sélincourt', 'alan alexander milne', 'daphne milne', 'dorothy de sélincourt', 'aa milne', 'milne', 'alan milne', 'dorothy milne']"
The Dance Class and Absinthe are famous works by which painter?," Edgar Degas
","['degas hilaire germain edgar', 'degas', 'hilaire germain edgar degas', 'edgar de gas', 'de gas', 'edgar dégas', 'edgar degas']"
Which American actor also performs with the band Dogstar?,"20th Century Fox
","['keanu reeves filmography', 'ava archer syme reeves', 'keanu reaves', 'kenau reeves', 'kenu reeves', 'keanu reeves', 'sad keanu', 'filmography of keanu reeves', 'cool breeze over mountains', 'keanu', 'keanau reeves', 'keanu reevs']"
In which city was the British version of Concorde assembled," Filton
","['bristol england', 'westbury park primary school', 'bristol', 'bristolshire', 'bristol city of ua', 'bristol district', 'weather in bristol', 'county borough of bristol', 'un locode gbbrs', 'brycgstow', 'bristol united kingdom', 'brizzle', 'bristol uk', 'city of bristol', 'unitary authority of bristol', 'city of bristol united kingdom']"
What is taphophobia the fear of?,"6 feet under
","['graves wine', 'graves superieures aoc', 'graves supérieures aoc', 'graves supérieures', 'graves aoc', 'graves']"
"Which bruising 19th century American, the last of the bare knuckle boxing heavyweight champions, was the first athlete to earn over one million dollars?"," John L Sullivan
","['john lawrence sullivan', 'john l sullivan', 'great john l', 'sullivan john l', 'john l sullivan boxer']"
"Who was the merchant sea-captain who made the first American circumnavigation of the world in 1790, and is known for trading voyages to the northern Pacific coast of North America between 1790 and 1793, which pioneered the fur trade in that region?"," John Kendrick
","['robert gray', 'robert gray disambiguation', 'bob gray', 'bobby gray']"
"Situated in Piccadilly, what is the name of London’s oldest bookshop?","42nd Street
","['hatchard s', 'hatchards']"
What childhood stories feature a young boy named Mowgli?,"1001 Nights
","['jungle book 2015', 'jungle book', 'two jungle books', 'rudyard kipling s jungle book', 'jungle books', 'jungle book origins 2016', 'white seal']"
